16 46
0 0 1.0000000000
0 1 1.0000000000
1 0 1.0000000000
1 1 1.0000000000
1 2 1.0000000000
2 1 1.0000000000
2 2 1.0000000000
2 3 1.0000000000
3 2 1.0000000000
3 3 1.0000000000
3 4 1.0000000000
4 3 1.0000000000
4 4 1.0000000000
4 5 1.0000000000
5 4 1.0000000000
5 5 1.0000000000
5 6 1.0000000000
6 5 1.0000000000
6 6 1.0000000000
6 7 1.0000000000
7 6 1.0000000000
7 7 1.0000000000
7 8 1.0000000000
8 7 1.0000000000
8 8 1.0000000000
8 9 1.0000000000
9 8 1.0000000000
9 9 1.0000000000
9 10 1.0000000000
10 9 1.0000000000
10 10 1.0000000000
10 11 1.0000000000
11 10 1.0000000000
11 11 1.0000000000
11 12 1.0000000000
12 11 1.0000000000
12 12 1.0000000000
12 13 1.0000000000
13 12 1.0000000000
13 13 1.0000000000
13 14 1.0000000000
14 13 1.0000000000
14 14 1.0000000000
14 15 1.0000000000
15 14 1.0000000000
15 15 1.0000000000
